documento;nombre;antiguedad;puntuacion;clave
100000001;Usuario0001;47;4.8;RrtEVPm3
100000002;Usuario0002;41;2.7;wm6d80Jf
100000003;Usuario0003;35;2.9;lEK9uAxG
100000004;Usuario0004;30;4.4;rsqsgvIg
100000005;Usuario0005;33;4.6;Q77Xxfem
100000006;Usuario0006;12;4.2;9YuHVSdS
100000007;Usuario0007;50;2.8;rLJthHCP
100000008;Usuario0008;19;4.9;1CHD2NQl
100000009;Usuario0009;13;3.6;Fa8P4Kia
100000010;Usuario0010;39;4.0;8yCRxGN6
100000011;Usuario0011;55;4.2;ZqJGQPax
100000012;Usuario0012;21;4.0;8aHB1reJ
100000013;Usuario0013;21;4.5;EpCQxLqF
100000014;Usuario0014;21;3.9;PO6ng0k5
100000015;Usuario0015;28;4.8;N2w9fsA8
100000016;Usuario0016;27;3.5;1rXVTIoe
100000017;Usuario0017;22;4.2;NHzeoS1v
100000018;Usuario0018;43;2.6;jG5eYNBI
100000019;Usuario0019;48;4.0;nAzeQjrl
100000020;Usuario0020;53;4.0;56rJ8HK2
100000021;Usuario0021;11;3.8;dAShby0R
100000022;Usuario0022;33;3.0;niUgV0q6
100000023;Usuario0023;47;4.7;lMcxihnd
100000024;Usuario0024;55;3.4;GS1TiiYQ
100000025;Usuario0025;23;4.0;muO2xq0d
100000026;Usuario0026;23;2.5;RE1U2cjZ
100000027;Usuario0027;13;3.8;KSVoT5AH
100000028;Usuario0028;37;4.9;DnDtGjnN
100000029;Usuario0029;37;3.2;4c6SpbaE
100000030;Usuario0030;43;4.5;oSuZl4S1
100000031;Usuario0031;8;3.1;dYBELZLt
100000032;Usuario0032;20;4.0;mYT6NaB5
100000033;Usuario0033;31;2.9;hxEcKEWk
100000034;Usuario0034;20;3.1;l5RKQ1kB
100000035;Usuario0035;12;3.8;WlylYLoP
100000036;Usuario0036;56;3.7;3QZPNuVp
100000037;Usuario0037;11;3.7;Q8ic0KIg
100000038;Usuario0038;29;4.1;yVP4VIQv
100000039;Usuario0039;42;5.0;qLqXU6Bc
100000040;Usuario0040;59;3.0;JBKRCmov
100000041;Usuario0041;49;2.9;PuMgKtZr
