codigoReserva;codAlojamiento;docHuesped;fechaEntrada;duracion;metodoPago;fechaPago;monto;anotacion
RSV001;ALOJ0340;200000432;01/06/2025;7;PSE;26/05/2025;1073436;Por favor dejar instrucciones para ingreso.
RSV002;ALOJ1122;200000195;08/07/2025;1;PSE;07/07/2025;102230;¿Tiene aire acondicionado?
RSV003;ALOJ0331;200000277;23/07/2025;2;TCredito;20/07/2025;181426;Por favor dejar instrucciones para ingreso.
RSV004;ALOJ0925;200000088;12/07/2025;4;PSE;08/07/2025;562404;Llegaré tarde
RSV005;ALOJ0939;200000345;07/07/2025;7;TCredito;02/07/2025;1225798;Sin comentarios
RSV006;ALOJ0703;200000420;08/06/2025;4;TCredito;06/06/2025;493320;Llegaré tarde
RSV007;ALOJ0808;200000014;01/06/2025;3;TCredito;28/05/2025;539154;¿Se permite fumar?
RSV008;ALOJ0939;200000416;03/06/2025;7;TCredito;31/05/2025;641417;Llegaré tarde
RSV009;ALOJ0969;200000247;27/07/2025;7;TCredito;26/07/2025;570031;¿Se permite fumar?
RSV010;ALOJ0480;200000310;07/06/2025;5;TCredito;06/06/2025;953830;¿Se permite fumar?
RSV011;ALOJ0910;200000218;25/07/2025;1;TCredito;21/07/2025;243999;Por favor dejar instrucciones para ingreso.
RSV012;ALOJ0948;200000056;30/06/2025;2;PSE;28/06/2025;451202;¿Tiene aire acondicionado?
RSV013;ALOJ0983;200000465;01/07/2025;7;PSE;27/06/2025;875924;Llegaré tarde
RSV014;ALOJ0356;200000476;18/07/2025;5;TCredito;13/07/2025;917450;¿Se permite fumar?
RSV015;ALOJ0368;200000484;01/07/2025;5;TCredito;29/06/2025;443650;Llegaré tarde
RSV016;ALOJ0282;200000162;15/06/2025;3;TCredito;12/06/2025;622704;¿Se permite fumar?
RSV017;ALOJ0712;200000443;16/06/2025;7;TCredito;10/06/2025;1361934;Sin comentarios
RSV018;ALOJ0680;200000300;29/07/2025;6;PSE;24/07/2025;624864;¿Se permite fumar?
RSV019;ALOJ0635;200000080;16/07/2025;1;TCredito;11/07/2025;163906;¿Se permite fumar?
RSV020;ALOJ0554;200000287;09/07/2025;6;TCredito;03/07/2025;1376976;Por favor dejar instrucciones para ingreso.
RSV021;ALOJ0996;200000007;17/07/2025;6;PSE;11/07/2025;1317900;Sin comentarios
RSV022;ALOJ0879;200000473;19/07/2025;1;PSE;15/07/2025;88718;Por favor dejar instrucciones para ingreso.
RSV023;ALOJ0777;200000404;11/06/2025;5;TCredito;10/06/2025;641135;Por favor dejar instrucciones para ingreso.
RSV024;ALOJ0342;200000407;16/07/2025;3;PSE;10/07/2025;668331;¿Se permite fumar?
RSV025;ALOJ0049;200000387;13/07/2025;1;PSE;09/07/2025;184001;Sin comentarios
RSV026;ALOJ0999;200000025;19/06/2025;6;PSE;17/06/2025;790824;Llegaré tarde
RSV027;ALOJ0277;200000290;18/07/2025;5;PSE;17/07/2025;818275;Llegaré tarde
RSV028;ALOJ0785;200000284;22/06/2025;3;TCredito;19/06/2025;600444;Sin comentarios
RSV029;ALOJ0912;200000377;06/07/2025;7;PSE;30/06/2025;1745555;Llegaré tarde
RSV030;ALOJ0113;200000240;20/06/2025;3;TCredito;16/06/2025;700434;Por favor dejar instrucciones para ingreso.
RSV031;ALOJ0563;200000185;02/07/2025;7;TCredito;30/06/2025;856198;Sin comentarios
RSV032;ALOJ0396;200000098;07/06/2025;5;TCredito;01/06/2025;782705;Sin comentarios
RSV033;ALOJ0930;200000252;22/07/2025;2;PSE;21/07/2025;301644;¿Se permite fumar?
RSV034;ALOJ0785;200000038;01/06/2025;4;PSE;26/05/2025;524376;Sin comentarios
RSV035;ALOJ0823;200000444;18/07/2025;1;TCredito;14/07/2025;247499;Por favor dejar instrucciones para ingreso.
RSV036;ALOJ0909;200000362;21/06/2025;3;PSE;15/06/2025;400887;¿Se permite fumar?
RSV037;ALOJ0837;200000183;21/06/2025;1;PSE;17/06/2025;144192;Sin comentarios
RSV038;ALOJ0647;200000339;05/06/2025;6;TCredito;01/06/2025;744366;¿Tiene aire acondicionado?
RSV039;ALOJ0409;200000295;30/07/2025;6;PSE;27/07/2025;837240;Sin comentarios
RSV040;ALOJ1117;200000307;04/07/2025;3;TCredito;01/07/2025;361431;Por favor dejar instrucciones para ingreso.
RSV041;ALOJ0986;200000166;29/07/2025;7;TCredito;28/07/2025;630952;Llegaré tarde
RSV042;ALOJ1041;200000476;02/07/2025;3;TCredito;30/06/2025;310860;Sin comentarios
RSV043;ALOJ0154;200000414;15/06/2025;7;TCredito;12/06/2025;1485470;Sin comentarios
RSV044;ALOJ0056;200000119;01/06/2025;7;TCredito;26/05/2025;1698886;Sin comentarios
RSV045;ALOJ0831;200000382;26/06/2025;5;PSE;25/06/2025;591240;¿Tiene aire acondicionado?
RSV046;ALOJ0962;200000128;02/06/2025;3;TCredito;28/05/2025;261675;Sin comentarios
RSV047;ALOJ1054;200000470;07/06/2025;1;TCredito;03/06/2025;81150;¿Se permite fumar?
RSV048;ALOJ0122;200000332;20/06/2025;6;PSE;14/06/2025;1018944;¿Se permite fumar?
RSV049;ALOJ1128;200000351;07/06/2025;3;PSE;04/06/2025;535893;Sin comentarios
RSV050;ALOJ0892;200000354;15/06/2025;2;PSE;13/06/2025;277524;Sin comentarios
RSV051;ALOJ0612;200000327;17/07/2025;3;PSE;11/07/2025;674139;¿Tiene aire acondicionado?
RSV052;ALOJ0865;200000122;30/07/2025;1;TCredito;29/07/2025;214091;Por favor dejar instrucciones para ingreso.
RSV053;ALOJ0283;200000073;08/06/2025;4;PSE;07/06/2025;767892;Llegaré tarde
RSV054;ALOJ0150;200000163;09/06/2025;6;PSE;06/06/2025;1071120;¿Tiene aire acondicionado?
RSV055;ALOJ1100;200000279;12/06/2025;7;TCredito;11/06/2025;1416044;¿Tiene aire acondicionado?
RSV056;ALOJ0512;200000355;23/07/2025;1;PSE;22/07/2025;155180;¿Se permite fumar?
RSV057;ALOJ0997;200000054;08/06/2025;3;TCredito;02/06/2025;463479;¿Tiene aire acondicionado?
RSV058;ALOJ0933;200000356;13/07/2025;6;TCredito;07/07/2025;530646;¿Tiene aire acondicionado?
RSV059;ALOJ0017;200000398;16/06/2025;7;TCredito;13/06/2025;1640933;Por favor dejar instrucciones para ingreso.
RSV060;ALOJ0861;200000026;25/07/2025;3;PSE;19/07/2025;517329;Sin comentarios
RSV061;ALOJ0190;200000414;27/06/2025;2;TCredito;26/06/2025;201914;¿Tiene aire acondicionado?
RSV062;ALOJ0983;200000435;31/07/2025;2;PSE;30/07/2025;457784;Sin comentarios
RSV063;ALOJ0963;200000330;15/07/2025;2;PSE;14/07/2025;434710;¿Tiene aire acondicionado?
RSV064;ALOJ0838;200000268;06/06/2025;7;TCredito;02/06/2025;564830;Sin comentarios
RSV065;ALOJ0963;200000227;03/07/2025;3;PSE;27/06/2025;747447;Por favor dejar instrucciones para ingreso.
RSV066;ALOJ0894;200000370;30/07/2025;2;PSE;28/07/2025;265022;Sin comentarios
RSV067;ALOJ1135;200000276;06/06/2025;2;TCredito;01/06/2025;395740;¿Se permite fumar?
RSV068;ALOJ0906;200000464;12/06/2025;6;PSE;07/06/2025;589626;¿Se permite fumar?
RSV069;ALOJ1037;200000086;30/06/2025;1;TCredito;29/06/2025;221739;Llegaré tarde
RSV070;ALOJ0982;200000324;27/06/2025;3;PSE;21/06/2025;354411;Por favor dejar instrucciones para ingreso.
RSV071;ALOJ0050;200000416;16/06/2025;4;TCredito;13/06/2025;320320;Sin comentarios
RSV072;ALOJ0408;200000254;21/06/2025;7;TCredito;20/06/2025;1539279;Llegaré tarde
RSV073;ALOJ0947;200000220;24/06/2025;7;PSE;20/06/2025;577710;¿Se permite fumar?
RSV074;ALOJ0687;200000412;25/07/2025;5;TCredito;24/07/2025;696960;¿Se permite fumar?
RSV075;ALOJ0667;200000404;25/06/2025;2;TCredito;24/06/2025;249022;¿Se permite fumar?
RSV076;ALOJ0830;200000235;07/07/2025;5;TCredito;06/07/2025;718995;Llegaré tarde
RSV077;ALOJ0026;200000373;17/06/2025;5;TCredito;15/06/2025;686395;Llegaré tarde
RSV078;ALOJ0287;200000013;15/06/2025;3;PSE;12/06/2025;528690;Llegaré tarde
RSV079;ALOJ1085;200000048;23/06/2025;7;PSE;22/06/2025;1337301;Por favor dejar instrucciones para ingreso.
RSV080;ALOJ0415;200000057;26/07/2025;1;PSE;20/07/2025;86965;¿Tiene aire acondicionado?
RSV081;ALOJ0325;200000283;19/06/2025;1;TCredito;13/06/2025;245867;¿Se permite fumar?
RSV082;ALOJ0435;200000071;23/06/2025;2;TCredito;17/06/2025;428414;¿Se permite fumar?
RSV083;ALOJ0550;200000057;14/06/2025;4;PSE;10/06/2025;359472;Por favor dejar instrucciones para ingreso.
RSV084;ALOJ0539;200000460;14/06/2025;6;PSE;12/06/2025;787326;Sin comentarios
RSV085;ALOJ0426;200000336;24/06/2025;1;PSE;21/06/2025;244381;¿Se permite fumar?
RSV086;ALOJ0272;200000339;19/06/2025;2;PSE;15/06/2025;474756;¿Se permite fumar?
RSV087;ALOJ0363;200000004;06/06/2025;5;PSE;03/06/2025;925780;Por favor dejar instrucciones para ingreso.
RSV088;ALOJ0168;200000441;24/06/2025;7;TCredito;18/06/2025;648361;Llegaré tarde
RSV089;ALOJ0028;200000275;22/07/2025;2;PSE;18/07/2025;378592;Llegaré tarde
RSV090;ALOJ0363;200000447;17/07/2025;5;TCredito;11/07/2025;1136310;Por favor dejar instrucciones para ingreso.
RSV091;ALOJ0520;200000020;19/07/2025;7;TCredito;14/07/2025;787262;¿Se permite fumar?
RSV092;ALOJ0550;200000139;21/07/2025;1;PSE;19/07/2025;187358;¿Se permite fumar?
RSV093;ALOJ0012;200000176;07/06/2025;5;TCredito;04/06/2025;724735;¿Tiene aire acondicionado?
RSV094;ALOJ1194;200000401;16/06/2025;2;TCredito;13/06/2025;255846;Por favor dejar instrucciones para ingreso.
RSV095;ALOJ0159;200000413;26/06/2025;7;PSE;21/06/2025;1071252;Llegaré tarde
RSV096;ALOJ0870;200000466;22/07/2025;7;PSE;16/07/2025;1158318;¿Tiene aire acondicionado?
RSV097;ALOJ0451;200000120;18/06/2025;6;PSE;13/06/2025;1006974;¿Tiene aire acondicionado?
RSV098;ALOJ0946;200000293;11/07/2025;3;PSE;06/07/2025;501612;Llegaré tarde
RSV099;ALOJ0137;200000418;19/07/2025;5;TCredito;15/07/2025;881285;Por favor dejar instrucciones para ingreso.
RSV100;ALOJ1092;200000135;12/07/2025;2;PSE;07/07/2025;221884;Sin comentarios
RSV101;ALOJ0653;200000138;10/07/2025;1;PSE;07/07/2025;220001;Por favor dejar instrucciones para ingreso.
RSV102;ALOJ1126;200000356;01/06/2025;2;TCredito;27/05/2025;363752;Llegaré tarde
RSV103;ALOJ0522;200000019;19/07/2025;7;PSE;18/07/2025;1554840;¿Tiene aire acondicionado?
RSV104;ALOJ0068;200000114;20/06/2025;4;TCredito;17/06/2025;977728;Por favor dejar instrucciones para ingreso.
RSV105;ALOJ0986;200000384;13/07/2025;7;PSE;08/07/2025;670481;¿Se permite fumar?
RSV106;ALOJ1089;200000073;15/07/2025;1;TCredito;13/07/2025;243472;Por favor dejar instrucciones para ingreso.
RSV107;ALOJ0859;200000205;21/07/2025;1;TCredito;15/07/2025;109160;Sin comentarios
RSV108;ALOJ0108;200000279;04/07/2025;5;PSE;30/06/2025;710980;Por favor dejar instrucciones para ingreso.
RSV109;ALOJ0579;200000136;06/06/2025;4;TCredito;04/06/2025;561160;¿Se permite fumar?
RSV110;ALOJ0088;200000369;28/06/2025;7;TCredito;23/06/2025;1575203;¿Se permite fumar?
RSV111;ALOJ0906;200000118;01/07/2025;6;PSE;29/06/2025;973614;Sin comentarios
RSV112;ALOJ0285;200000379;12/06/2025;5;PSE;06/06/2025;1083200;Por favor dejar instrucciones para ingreso.
RSV113;ALOJ0941;200000106;16/07/2025;5;TCredito;14/07/2025;1222160;Sin comentarios
RSV114;ALOJ0895;200000304;27/07/2025;4;TCredito;21/07/2025;495752;Llegaré tarde
RSV115;ALOJ0140;200000151;23/06/2025;1;TCredito;22/06/2025;152114;Llegaré tarde
RSV116;ALOJ0058;200000481;05/06/2025;7;TCredito;02/06/2025;863933;Sin comentarios
RSV117;ALOJ0416;200000270;18/06/2025;3;TCredito;13/06/2025;675177;Sin comentarios
RSV118;ALOJ0248;200000262;24/06/2025;2;TCredito;19/06/2025;347268;Por favor dejar instrucciones para ingreso.
RSV119;ALOJ0160;200000187;19/07/2025;3;TCredito;16/07/2025;511239;Sin comentarios
RSV120;ALOJ0692;200000076;25/06/2025;2;PSE;19/06/2025;222094;¿Tiene aire acondicionado?
RSV121;ALOJ0316;200000175;07/07/2025;5;PSE;02/07/2025;570815;Llegaré tarde
RSV122;ALOJ0366;200000147;18/07/2025;7;PSE;13/07/2025;1033697;Llegaré tarde
RSV123;ALOJ0884;200000121;18/06/2025;7;TCredito;12/06/2025;991053;Por favor dejar instrucciones para ingreso.
RSV124;ALOJ0655;200000034;06/06/2025;2;TCredito;03/06/2025;189570;¿Se permite fumar?
RSV125;ALOJ0199;200000065;15/06/2025;1;TCredito;13/06/2025;103134;¿Tiene aire acondicionado?
RSV126;ALOJ0645;200000187;20/06/2025;3;TCredito;15/06/2025;529554;Por favor dejar instrucciones para ingreso.
RSV127;ALOJ0166;200000457;21/06/2025;1;PSE;18/06/2025;139388;¿Se permite fumar?
RSV128;ALOJ1056;200000093;09/06/2025;3;TCredito;06/06/2025;459054;Sin comentarios
RSV129;ALOJ0290;200000048;14/06/2025;5;PSE;10/06/2025;1189060;Por favor dejar instrucciones para ingreso.
RSV130;ALOJ0448;200000199;10/06/2025;7;PSE;07/06/2025;663628;¿Tiene aire acondicionado?
RSV131;ALOJ0449;200000371;02/07/2025;4;PSE;29/06/2025;882000;Sin comentarios
RSV132;ALOJ1004;200000411;23/06/2025;5;PSE;17/06/2025;435655;¿Se permite fumar?
RSV133;ALOJ0094;200000383;04/07/2025;4;TCredito;01/07/2025;806280;Llegaré tarde
RSV134;ALOJ0792;200000341;26/06/2025;3;PSE;24/06/2025;477744;Sin comentarios
RSV135;ALOJ0171;200000442;28/06/2025;5;TCredito;24/06/2025;991050;¿Tiene aire acondicionado?
