codigoReserva;codAlojamiento;docHuesped;fechaEntrada;duracion;metodoPago;fechaPago;monto;anotacion
RSV001;ALOJ114;20000021;28/05/2025;7;TCredito;25/05/2025;1306109;¿Tiene aire acondicionado?
RSV002;ALOJ096;20000067;19/07/2025;1;TCredito;18/07/2025;119166;Llegare tarde
RSV003;ALOJ053;20000084;12/05/2025;4;PSE;11/05/2025;912572;Sin comentarios
RSV004;ALOJ024;20000012;03/07/2025;1;TCredito;26/06/2025;213863;Llegare tarde
RSV005;ALOJ074;20000002;14/05/2025;6;TCredito;07/05/2025;1236888;Por favor dejar instrucciones para ingreso.
RSV006;ALOJ003;20000074;06/06/2025;3;PSE;01/06/2025;544224;Sin comentarios
RSV007;ALOJ091;20000003;22/06/2025;3;TCredito;18/06/2025;247242;Por favor dejar instrucciones para ingreso.
RSV008;ALOJ013;20000073;27/05/2025;2;TCredito;20/05/2025;486828;Por favor dejar instrucciones para ingreso.
RSV009;ALOJ131;20000098;14/07/2025;2;TCredito;12/07/2025;253546;Por favor dejar instrucciones para ingreso.
RSV010;ALOJ011;20000098;09/06/2025;6;TCredito;01/06/2025;1337202;¿Tiene aire acondicionado?
RSV011;ALOJ137;20000006;17/05/2025;4;TCredito;14/05/2025;324220;¿Se permite fumar?
RSV012;ALOJ032;20000051;14/05/2025;3;PSE;07/05/2025;416295;Sin comentarios
RSV013;ALOJ109;20000087;26/07/2025;2;PSE;24/07/2025;323494;Llegare tarde
RSV014;ALOJ104;20000027;14/07/2025;1;PSE;13/07/2025;151800;Por favor dejar instrucciones para ingreso.
RSV015;ALOJ028;20000050;12/07/2025;5;TCredito;05/07/2025;638660;¿Tiene aire acondicionado?
RSV016;ALOJ134;20000055;12/07/2025;8;PSE;11/07/2025;1339768;¿Se permite fumar?
RSV017;ALOJ017;20000093;13/06/2025;5;TCredito;12/06/2025;639275;Llegare tarde
RSV018;ALOJ081;20000082;17/05/2025;1;TCredito;11/05/2025;87380;¿Tiene aire acondicionado?
RSV019;ALOJ036;20000056;25/06/2025;6;PSE;21/06/2025;951102;Llegare tarde
RSV020;ALOJ061;20000019;25/05/2025;8;PSE;17/05/2025;1557760;Sin comentarios
RSV021;ALOJ081;20000002;11/05/2025;1;TCredito;04/05/2025;134038;Llegare tarde
RSV022;ALOJ020;20000094;19/06/2025;1;TCredito;16/06/2025;131987;¿Tiene aire acondicionado?
RSV023;ALOJ119;20000096;24/05/2025;3;PSE;23/05/2025;684981;¿Se permite fumar?
RSV024;ALOJ035;20000086;17/06/2025;4;TCredito;13/06/2025;347744;¿Se permite fumar?
RSV025;ALOJ018;20000017;18/07/2025;3;TCredito;17/07/2025;247197;¿Tiene aire acondicionado?
RSV026;ALOJ126;20000041;20/05/2025;5;TCredito;19/05/2025;1090080;Llegare tarde
RSV027;ALOJ105;20000038;12/06/2025;5;PSE;06/06/2025;611645;Llegare tarde
RSV028;ALOJ012;20000087;24/05/2025;6;PSE;18/05/2025;1005192;Por favor dejar instrucciones para ingreso.
RSV029;ALOJ060;20000087;31/05/2025;6;TCredito;28/05/2025;581388;Sin comentarios
RSV030;ALOJ047;20000056;07/07/2025;3;TCredito;05/07/2025;458772;¿Tiene aire acondicionado?
RSV031;ALOJ049;20000074;21/06/2025;4;TCredito;16/06/2025;782384;Sin comentarios
RSV032;ALOJ089;20000072;11/07/2025;3;TCredito;08/07/2025;474885;¿Tiene aire acondicionado?
RSV033;ALOJ100;20000036;23/07/2025;2;PSE;15/07/2025;307718;¿Se permite fumar?
RSV034;ALOJ076;20000010;28/05/2025;3;PSE;22/05/2025;678513;Llegare tarde
RSV035;ALOJ108;20000065;24/06/2025;8;PSE;18/06/2025;1539792;¿Tiene aire acondicionado?
RSV036;ALOJ113;20000016;05/06/2025;6;PSE;28/05/2025;526950;Por favor dejar instrucciones para ingreso.
RSV037;ALOJ129;20000019;02/06/2025;7;TCredito;31/05/2025;931217;¿Se permite fumar?
RSV038;ALOJ114;20000024;11/06/2025;7;PSE;04/06/2025;1543101;Sin comentarios
RSV039;ALOJ026;20000074;29/05/2025;3;TCredito;27/05/2025;364068;Por favor dejar instrucciones para ingreso.
RSV040;ALOJ006;20000007;18/07/2025;1;PSE;11/07/2025;97329;Sin comentarios
RSV041;ALOJ078;20000100;17/07/2025;3;PSE;16/07/2025;310089;Sin comentarios
RSV042;ALOJ027;20000070;26/06/2025;5;TCredito;25/06/2025;1112065;Por favor dejar instrucciones para ingreso.
RSV043;ALOJ094;20000031;05/07/2025;7;TCredito;02/07/2025;1549177;Por favor dejar instrucciones para ingreso.
RSV044;ALOJ104;20000032;26/07/2025;4;PSE;20/07/2025;374896;Sin comentarios
RSV045;ALOJ138;20000002;26/07/2025;3;PSE;24/07/2025;449682;¿Tiene aire acondicionado?
RSV046;ALOJ107;20000073;13/07/2025;7;PSE;11/07/2025;1742181;Llegare tarde
RSV047;ALOJ075;20000032;01/06/2025;1;TCredito;24/05/2025;174575;Sin comentarios
RSV048;ALOJ019;20000022;09/05/2025;1;TCredito;07/05/2025;109878;Sin comentarios
RSV049;ALOJ050;20000038;08/06/2025;2;PSE;06/06/2025;388102;¿Se permite fumar?
RSV050;ALOJ045;20000091;28/05/2025;8;TCredito;21/05/2025;681888;Sin comentarios
RSV051;ALOJ036;20000063;17/07/2025;6;TCredito;11/07/2025;752352;¿Tiene aire acondicionado?
RSV052;ALOJ069;20000073;23/06/2025;5;TCredito;15/06/2025;672005;Llegare tarde
RSV053;ALOJ005;20000033;18/07/2025;2;TCredito;12/07/2025;389840;Sin comentarios
RSV054;ALOJ102;20000083;20/05/2025;7;PSE;12/05/2025;754418;Llegare tarde
RSV055;ALOJ030;20000059;27/07/2025;8;TCredito;20/07/2025;1632672;Por favor dejar instrucciones para ingreso.
RSV056;ALOJ048;20000019;12/05/2025;6;PSE;07/05/2025;1252488;Llegare tarde
RSV057;ALOJ055;20000099;06/07/2025;7;TCredito;03/07/2025;1563184;Llegare tarde
RSV058;ALOJ021;20000098;29/05/2025;3;TCredito;27/05/2025;296190;Sin comentarios
RSV059;ALOJ024;20000099;28/05/2025;4;PSE;21/05/2025;479956;Llegare tarde
RSV060;ALOJ126;20000094;27/07/2025;5;PSE;23/07/2025;730065;Llegare tarde
RSV061;ALOJ005;20000077;07/06/2025;1;PSE;30/05/2025;113867;Sin comentarios
