documento;nombre;antiguedad;puntuacion;clave
20000001;Usuario0102;23;4.7;ptpdEZRr
20000002;Usuario0103;6;4.1;Pm9avE54
20000003;Usuario0104;6;1.9;usax9chg
20000004;Usuario0105;30;4.1;7p9y0GDs
20000005;Usuario0106;25;3.6;8kU70fV2
20000006;Usuario0107;45;4.6;6kUwPHBA
20000007;Usuario0108;45;1.5;qnSDeUwb
20000008;Usuario0109;4;2.7;cvfNUuzo
20000009;Usuario0110;48;4.3;tIHZFNeU
20000010;Usuario0111;9;3.8;TUhqnKhX
20000011;Usuario0112;20;4.2;XISzd0FP
20000012;Usuario0113;30;1.8;Nk8M7NfX
20000013;Usuario0114;40;4.0;EpikoPE9
20000014;Usuario0115;26;2.0;2uBIhtsg
20000015;Usuario0116;34;1.8;nDDNEX2Z
20000016;Usuario0117;23;4.4;RVUhMBWe
20000017;Usuario0118;33;3.6;NIjzJZvJ
20000018;Usuario0119;43;4.3;bE0aNJyp
20000019;Usuario0120;16;4.8;BvJYidHZ
20000020;Usuario0121;37;4.1;opygA9e7
20000021;Usuario0122;25;4.4;4sTbpNby
20000022;Usuario0123;42;1.7;VKVLn8SG
20000023;Usuario0124;13;2.1;m769YMOC
20000024;Usuario0125;13;4.5;fvDlJlrl
20000025;Usuario0126;6;4.6;EtvOPRwn
20000026;Usuario0127;38;4.9;UYa1Vyz7
20000027;Usuario0128;7;2.4;7bfyVjNv
20000028;Usuario0129;25;3.0;E3ga90Kc
20000029;Usuario0130;16;4.7;X3cignp3
20000030;Usuario0131;45;1.7;3ExXCK9u
20000031;Usuario0132;27;2.3;6Tzi28yf
20000032;Usuario0133;37;3.4;b6UD33Tg
20000033;Usuario0134;31;4.5;oXaNX5iF
20000034;Usuario0135;25;3.9;8hT86zaa
20000035;Usuario0136;34;4.3;U7SJ50pQ
20000036;Usuario0137;26;3.5;2jyJdX2i
20000037;Usuario0138;35;3.2;IhuvS3sR
20000038;Usuario0139;25;3.2;XppvK37u
20000039;Usuario0140;35;2.8;F9jGw5dE
