codigoReserva;codAlojamiento;docHuesped;fechaEntrada;duracion;metodoPago;fechaPago;monto;anotacion
RSV001;ALOJ148;20000108;16/07/2025;6;TCredito;10/07/2025;507396;¿Tiene aire acondicionado?
RSV002;ALOJ196;20000121;03/06/2025;4;TCredito;26/05/2025;585600;Llegare tarde
RSV003;ALOJ111;20000177;22/06/2025;6;TCredito;15/06/2025;1103382;¿Se permite fumar?
RSV004;ALOJ068;20000102;17/05/2025;2;PSE;09/05/2025;443514;¿Se permite fumar?
RSV005;ALOJ028;20000049;26/05/2025;6;TCredito;21/05/2025;1388586;¿Tiene aire acondicionado?
RSV006;ALOJ158;20000028;14/06/2025;8;TCredito;11/06/2025;1070248;¿Se permite fumar?
RSV007;ALOJ087;20000089;01/05/2025;4;PSE;24/04/2025;404688;Sin comentarios
RSV008;ALOJ184;20000143;04/06/2025;7;PSE;30/05/2025;864822;Por favor dejar instrucciones para ingreso.
RSV009;ALOJ071;20000129;15/05/2025;3;PSE;11/05/2025;594378;Por favor dejar instrucciones para ingreso.
RSV010;ALOJ160;20000064;11/07/2025;8;TCredito;08/07/2025;1918896;¿Tiene aire acondicionado?
RSV011;ALOJ055;20000180;22/06/2025;8;TCredito;17/06/2025;811256;Por favor dejar instrucciones para ingreso.
RSV012;ALOJ031;20000158;31/05/2025;8;PSE;28/05/2025;750952;Sin comentarios
RSV013;ALOJ057;20000185;01/06/2025;8;TCredito;27/05/2025;1342064;¿Se permite fumar?
RSV014;ALOJ160;20000010;05/07/2025;1;PSE;27/06/2025;191313;¿Tiene aire acondicionado?
RSV015;ALOJ149;20000056;23/06/2025;1;TCredito;20/06/2025;200871;¿Se permite fumar?
RSV016;ALOJ172;20000006;15/06/2025;1;TCredito;12/06/2025;122724;Sin comentarios
RSV017;ALOJ057;20000144;05/05/2025;2;TCredito;03/05/2025;297944;Llegare tarde
RSV018;ALOJ021;20000153;16/06/2025;5;TCredito;09/06/2025;607480;Por favor dejar instrucciones para ingreso.
RSV019;ALOJ191;20000032;19/07/2025;4;PSE;12/07/2025;692360;¿Tiene aire acondicionado?
RSV020;ALOJ136;20000153;12/05/2025;1;TCredito;07/05/2025;150557;Sin comentarios
RSV021;ALOJ051;20000051;04/07/2025;2;PSE;03/07/2025;360734;¿Se permite fumar?
RSV022;ALOJ142;20000064;07/06/2025;7;TCredito;03/06/2025;1408050;Sin comentarios
RSV023;ALOJ083;20000087;18/07/2025;8;PSE;11/07/2025;1207184;Sin comentarios
RSV024;ALOJ041;20000008;12/07/2025;1;PSE;10/07/2025;119236;Llegare tarde
RSV025;ALOJ173;20000071;25/05/2025;7;PSE;22/05/2025;1120070;¿Tiene aire acondicionado?
RSV026;ALOJ189;20000076;06/07/2025;5;TCredito;03/07/2025;579515;¿Se permite fumar?
RSV027;ALOJ118;20000053;04/07/2025;7;PSE;27/06/2025;1511083;Por favor dejar instrucciones para ingreso.
RSV028;ALOJ023;20000187;24/05/2025;4;TCredito;16/05/2025;918744;¿Tiene aire acondicionado?
RSV029;ALOJ137;20000125;21/05/2025;3;TCredito;14/05/2025;444276;¿Se permite fumar?
RSV030;ALOJ195;20000061;24/07/2025;2;TCredito;18/07/2025;493208;Por favor dejar instrucciones para ingreso.
RSV031;ALOJ159;20000167;21/07/2025;1;TCredito;15/07/2025;128134;Por favor dejar instrucciones para ingreso.
RSV032;ALOJ139;20000046;27/05/2025;5;TCredito;20/05/2025;630775;Llegare tarde
RSV033;ALOJ119;20000164;11/06/2025;6;PSE;06/06/2025;1401414;Sin comentarios
RSV034;ALOJ127;20000046;06/06/2025;7;TCredito;31/05/2025;875735;Por favor dejar instrucciones para ingreso.
RSV035;ALOJ022;20000007;16/05/2025;2;PSE;12/05/2025;233372;¿Tiene aire acondicionado?
RSV036;ALOJ149;20000024;18/06/2025;1;PSE;14/06/2025;114124;Por favor dejar instrucciones para ingreso.
RSV037;ALOJ124;20000149;06/06/2025;5;PSE;03/06/2025;808760;Llegare tarde
RSV038;ALOJ195;20000052;30/06/2025;6;TCredito;28/06/2025;1104354;¿Tiene aire acondicionado?
RSV039;ALOJ082;20000021;15/06/2025;2;PSE;10/06/2025;351622;¿Tiene aire acondicionado?
RSV040;ALOJ096;20000097;04/07/2025;5;PSE;03/07/2025;1032695;¿Tiene aire acondicionado?
RSV041;ALOJ198;20000053;21/05/2025;7;TCredito;16/05/2025;1147321;Por favor dejar instrucciones para ingreso.
RSV042;ALOJ060;20000161;14/05/2025;8;PSE;06/05/2025;1282240;¿Se permite fumar?
RSV043;ALOJ102;20000115;22/07/2025;6;TCredito;19/07/2025;1346958;Sin comentarios
RSV044;ALOJ044;20000058;17/06/2025;5;PSE;12/06/2025;797635;Llegare tarde
